ProdCategory_id,Product_category,ProdSubCategory
530,Arts & Crafts , Art Sand
531,Arts & Crafts , Art Sand
532,,
533,Arts & Crafts , Art Sand
534,Arts & Crafts , Art Sand
535,,
536,,
537,Arts & Crafts , Art Sand
538,Arts & Crafts , Art Sand
539,,
540,,
541,Arts & Crafts , Art Sand
542,Arts & Crafts , Art Sand
543,Arts & Crafts , Art Sand
544,Arts & Crafts , Art Sand
545,,
546,,
547,,
548,Arts & Crafts , Art Sand
549,Arts & Crafts , Art & Craft Supplies 
550,,
551,,
552,Arts & Crafts , Art Sand
553,Figures & Playsets , Pirates
554,,
555,,
556,,
557,Arts & Crafts , Art Sand
558,Arts & Crafts , Children's Craft Kits
559,,
560,,
561,Arts & Crafts , Art Sand
562,Arts & Crafts , Art Sand
563,,
564,Characters & Brands , Star Wars 
565,Arts & Crafts , Art Sand
566,Figures & Playsets , Science Fiction & Fantasy
567,Home Accessories , Decorative Accessories 
568,Arts & Crafts , Art Sand
569,,
570,Characters & Brands , Star Wars 
571,Arts & Crafts , Art Sand
572,,
573,Characters & Brands , Disney 
574,Arts & Crafts , Art Sand
575,Characters & Brands , Disney 
576,,
577,,
578,Arts & Crafts , Art Sand
579,Figures & Playsets , Knights & Castles
580,Arts & Crafts , Art Sand
581,,
582,,
583,Arts & Crafts , Children's Craft Kits
584,Arts & Crafts , Art Sand
585,"Sweets, Chocolate & Gum ", Chocolate
586,Arts & Crafts , Art Sand
587,,
588,,
589,Arts & Crafts , Art Sand
590,,
591,Characters & Brands , Disney 
592,Sports Toys & Outdoor , Beach Toys 
593,,
594,,
595,,
596,,
597,,
598,Arts & Crafts , Art Sand
599,,
600,,
601,,
602,Arts & Crafts , Art Sand
603,Arts & Crafts , Art Sand
604,Figures & Playsets , Knights & Castles
605,,
606,,
607,,
608,,
609,Arts & Crafts , Art Sand
610,,
611,,
612,Die-Cast & Toy Vehicles , Toy Vehicles & Accessories 
613,Die-Cast & Toy Vehicles , Toy Vehicles & Accessories 
614,Die-Cast & Toy Vehicles , Toy Vehicles & Accessories 
615,Die-Cast & Toy Vehicles , Toy Vehicles & Accessories 
616,Die-Cast & Toy Vehicles , Toy Vehicles & Accessories 
617,Die-Cast & Toy Vehicles , Toy Vehicles & Accessories 
618,Die-Cast & Toy Vehicles , Toy Vehicles & Accessories 
619,Die-Cast & Toy Vehicles , Toy Vehicles & Accessories 
620,Die-Cast & Toy Vehicles , Toy Vehicles & Accessories 
621,Die-Cast & Toy Vehicles , Toy Vehicles & Accessories 
622,Die-Cast & Toy Vehicles , Toy Vehicles & Accessories 
623,Die-Cast & Toy Vehicles , Toy Vehicles & Accessories 
624,Die-Cast & Toy Vehicles , Toy Vehicles & Accessories 
625,Die-Cast & Toy Vehicles , Toy Vehicles & Accessories 
626,Die-Cast & Toy Vehicles , Toy Vehicles & Accessories 
627,Die-Cast & Toy Vehicles , Toy Vehicles & Accessories 
