LOC_CODE;LOCATION_TYPE;LOCATION_NAME;DIS_CODE;DISTRICT;REG_CODE;REGION
L04832;д.;Пышно;D063;Лепельский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L03044;д.;Пышняки;D019;Витебский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L23809;д;Пьевцы;D010;Браславский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L16881;д.;Пядань;D008;Борисовский;R06;МИНСКАЯ ОБЛАСТЬ
L03700;д.;Пялевщина;D024;Глубокский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L08372;аг.;Пялики;D122;Шарковщинский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L01140;д.;Пяски;D048;Каменецкий;R01;БРЕСТСКАЯ ОБЛАСТЬ
L01790;д.;Пясово;D111;Столинский;R01;БРЕСТСКАЯ ОБЛАСТЬ
L12474;д.;Пятаки;D020;Волковысский;R04;ГРОДНЕНСКАЯ ОБЛАСТЬ
L15327;д.;Пятевщина;D073;Минский;R06;МИНСКАЯ ОБЛАСТЬ
L22079;д.;Пятенка;D025;Глусский;R07;МОГИЛЕВСКАЯ ОБЛАСТЬ
L01876;д.;Пятигорск;D006;Бешенковичский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L16416;д.;Пятилетка;D106;Смолевичский;R06;МИНСКАЯ ОБЛАСТЬ
L13992;д.;Пятковщина;D022;Вороновский;R04;ГРОДНЕНСКАЯ ОБЛАСТЬ
L07987;д.;Пятницкое;D124;Шумилинский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L08089;д.;Пятницы;D114;Ушачский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L13357;д.;Пятчицы;D020;Волковысский;R04;ГРОДНЕНСКАЯ ОБЛАСТЬ
L23762;д.;Пячковичи;D080;Мстиславский;R07;МОГИЛЕВСКАЯ ОБЛАСТЬ
L23760;п.;Пячковский льнозавод;D080;Мстиславский;R07;МОГИЛЕВСКАЯ ОБЛАСТЬ
L15103;д.;Рабак;D105;Слуцкий;R06;МИНСКАЯ ОБЛАСТЬ
L06927;д.;Рабеки;D094;Поставский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L11249;п.;Рабец;D115;Хойникский;R03;ГОМЕЛЬСКАЯ ОБЛАСТЬ
L11617;д.;Рабки;D038;Дятловский;R04;ГРОДНЕНСКАЯ ОБЛАСТЬ
L00276;д.;Рабковичи;D001;Барановичский;R01;БРЕСТСКАЯ ОБЛАСТЬ
L13602;п.;Рабкор;D086;Октябрьский;R03;ГОМЕЛЬСКАЯ ОБЛАСТЬ
L20027;д.;Рабовичи;D103;Славгородский;R07;МОГИЛЕВСКАЯ ОБЛАСТЬ
L21145;п.;Рабочий;D014;Быховский;R07;МОГИЛЕВСКАЯ ОБЛАСТЬ
L18568;д.;Рабунь;D017;Вилейский;R06;МИНСКАЯ ОБЛАСТЬ
L15348;д.;Рабушки;D073;Минский;R06;МИНСКАЯ ОБЛАСТЬ
L18867;д.;Рабцы;D017;Вилейский;R06;МИНСКАЯ ОБЛАСТЬ
L06119;д.;Рабыши;D093;Полоцкий;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L09613;д.;Равгелишки;D090;Ошмянский;R04;ГРОДНЕНСКАЯ ОБЛАСТЬ
L03227;х.;Равгишки;D010;Браславский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L19737;д.;Равнополье;D096;Пуховичский;R06;МИНСКАЯ ОБЛАСТЬ
