product,vendor code,code,group code,main provider,main manufacturer,tax,country-provider,discount,price
Ступица задняя алюминиевая (пара),258968,1190,Jan-18,Anderson Racing,Anderson Racing,20%,КИТАЙ ,6,1.51
ZD Racing,,1191,к автомоделям,,,,,,12
Амортизаторы передние (пара),8001,1193,1-Aug,XINGYAOHUA,XINGYAOHUA,20%,КИТАЙ ,,17
Амортизаторы задние (пара),8002,1194,1-Aug,XINGYAOHUA,XINGYAOHUA,20%,КИТАЙ ,,0.67
Чашки дифференциала (пара),8011,1195,1-Aug,XINGYAOHUA,XINGYAOHUA,20%,КИТАЙ ,,0.83
Карданы передние (пара),8015,1196,1-Aug,XINGYAOHUA,XINGYAOHUA,20%,КИТАЙ ,1,8.73
Карданы межосевые (2шт.) (8157),8017,1197,1-Aug,XINGYAOHUA,XINGYAOHUA,20%,КИТАЙ ,1,8.76
Рычаги передние верхние (пара),8019,1198,1-Aug,XINGYAOHUA,XINGYAOHUA,20%,КИТАЙ ,,1.25
Тяги рулевые 1 (пара),8020,1199,1-Aug,XINGYAOHUA,XINGYAOHUA,20%,КИТАЙ ,5,18.53
Тяги рулевые 2 (пара),8021,1200,1-Aug,XINGYAOHUA,XINGYAOHUA,20%,КИТАЙ ,6,39.24
Тяги задние верхние (пара),8022,1201,1-Aug,XINGYAOHUA,XINGYAOHUA,20%,КИТАЙ ,5,1.6
Тяги регулировочные (7шт.),8023,1202,1-Aug,XINGYAOHUA,XINGYAOHUA,20%,КИТАЙ ,,0.59
Корпус редуктора дифференциала,8025,1203,1-Aug,XINGYAOHUA,XINGYAOHUA,20%,КИТАЙ ,,75.01
Рычаги передние нижние (пара),8041,1204,1-Aug,XINGYAOHUA,XINGYAOHUA,20%,КИТАЙ ,,60.1
Рычаги задние нижние (пара),8042,1205,1-Aug,XINGYAOHUA,XINGYAOHUA,20%,КИТАЙ ,,17
Шайбы антикрыла (4шт.) (алюминий),8053,1206,1-Aug,XINGYAOHUA,XINGYAOHUA,20%,КИТАЙ ,5,19
Шпильки рычагов и С-хабов (6шт.),8055,1207,1-Aug,XINGYAOHUA,XINGYAOHUA,20%,КИТАЙ ,6,37.84
Колесо в сборе 1/08 багги (пара) ZD,8065,1208,"Колёса, шины, диски, вставки и аксессуары",XINGYAOHUA,XINGYAOHUA,20%,КИТАЙ ,1,5.58
я Пыльники привода (6 шт.),8069,1209,1-Aug,,,20%,КИТАЙ ,,0.86
Пыльники амортизаторов (4 шт.),8070,1210,1-Aug,XINGYAOHUA,XINGYAOHUA,20%,КИТАЙ ,,39.27
Шестерни редуктора (набор),8086,1211,1-Aug,XINGYAOHUA,XINGYAOHUA,20%,КИТАЙ ,,3.75
Кожух редуктора,8087,1212,1-Aug,XINGYAOHUA,XINGYAOHUA,20%,КИТАЙ ,,27.5
Дифференциал центральный (багги),8092,1213,1-Aug,XINGYAOHUA,XINGYAOHUA,20%,КИТАЙ ,,1.91
Подшипники (набор),8109,1214,1-Aug,XINGYAOHUA,XINGYAOHUA,20%,КИТАЙ ,5,2.08
Стойка амортизаторов (бабочка) передняя,8218,1215,1-Aug,XINGYAOHUA,XINGYAOHUA,20%,КИТАЙ ,5,19
Стойка амортизаторов (бабочка) задняя,8219,1216,1-Aug,XINGYAOHUA,XINGYAOHUA,20%,КИТАЙ ,,22.1
Чашки центральных карданов (пара),8228,1217,1-Aug,XINGYAOHUA,XINGYAOHUA,20%,КИТАЙ ,,17
Корпус багги,8279,1218,1-Aug,XINGYAOHUA,XINGYAOHUA,20%,КИТАЙ ,,39.27
1-Aug,,1219,ZD Racing,,,,,,4.5
Штоки передних амортизаторов (пара),8005,1220,1-Aug,XINGYAOHUA,XINGYAOHUA,20%,КИТАЙ ,6,29.23
Штоки задних амортизаторов (пара),8006,1221,1-Aug,XINGYAOHUA,XINGYAOHUA,20%,КИТАЙ ,1,13.53
Крепление амортизаторов,8007,1222,1-Aug,XINGYAOHUA,XINGYAOHUA,20%,КИТАЙ ,,13.24
Дифференциал,8008,1223,1-Aug,XINGYAOHUA,XINGYAOHUA,20%,КИТАЙ ,,0.86
Чашки центрального дифференциала (пара),8012,1224,1-Aug,XINGYAOHUA,XINGYAOHUA,20%,КИТАЙ ,5,18.53
Серво сейвер,8028,1225,1-Aug,XINGYAOHUA,XINGYAOHUA,20%,КИТАЙ ,,3.11
Стойки рулевые,8032,1226,1-Aug,XINGYAOHUA,XINGYAOHUA,20%,КИТАЙ ,5,1.2
Держатель ступицы (С-хаб) (пара),8037,1227,1-Aug,XINGYAOHUA,XINGYAOHUA,20%,КИТАЙ ,6,1.85
Крепление спойлера,8039,1228,1-Aug,XINGYAOHUA,XINGYAOHUA,20%,КИТАЙ ,1,5.18
Стабилизатор задний,8043,1229,1-Aug,XINGYAOHUA,XINGYAOHUA,20%,КИТАЙ ,,136.35
Стабилизатор передний,8044,1230,1-Aug,XINGYAOHUA,XINGYAOHUA,20%,КИТАЙ ,,28.1
Держатели рычагов задних нижних (пара) металл,8045,1231,1-Aug,XINGYAOHUA,XINGYAOHUA,20%,КИТАЙ ,,17
Держатели рычагов передних нижних (пара) металл,8046,1232,1-Aug,XINGYAOHUA,XINGYAOHUA,20%,КИТАЙ ,5,32.1
Держатель рычагов передних верхних,8047,1233,1-Aug,XINGYAOHUA,XINGYAOHUA,20%,КИТАЙ ,,3.38
Пластина рулевая соединительная,8049,1234,1-Aug,XINGYAOHUA,XINGYAOHUA,20%,КИТАЙ ,1,7.55
