S_NUMBER;C_CODE;Location_DESC;Latitude;Longitude;ROAD1;ROAD2;DT;DT2;AI92;BN92;AI95;GPL;AI98
22;BY;Брестская обл., г. Барановичи, ул. Фроленкова 2Д;53.114722;26.061667;;;1;0;1;0;0;1;0,,,,
22;BY;г. Минск, ул. Володько, 3;53.884392;27.562536;;;1;0;1;0;1;0;0,,,,
22;BY;г. Мосты, ул. Волковича, 8а;53.41173;24.52484;;;1;0;1;0;1;1;0,,,,
22;BY;Минская обл.,Клецкий р-н,г. Клецк, ул. Ленина, 54;53.079444;26.641666;Р-12;;1;0;1;0;1;0;0,,
22;BY;Лидский район,д.Новоселки Дубровенский с/с,82;53.895525;25.343136;;;1;0;1;0;1;0;0,,,,
23;BY;Браславский р-н, Межанский с/с, Р-27, 217 км, 1;55.639358;26.991832;Р-3;;1;0;1;1;1;0;0,,
23;BY;г. Речица, Светлогорское шоссе, 1Д;52.366944;30.344444;Р-82;;1;0;1;0;1;0;0,,,,
23;BY;ул. Марфицкого-Журавлевича, 1;53.103611;25.993056;;;1;0;1;0;0;0;0,,,,,
23;BY;Минская обл.,Несвижский р-н, Р-11, 132-й км, 1;53.24146;26.632222;Р-11;;1;0;1;0;1;1;0,,
23;BY;Гродненская обл., Щучинский р-н, М-6, 212-й км, 3;53.62573;24.72896;М-6;;1;1;1;0;1;1;0,,
23;BY;г. Бобруйск, ул. Орловского, 22;53.131431;29.179645;;;1;0;1;0;0;0;0,,,,
24;BY;д. Березовичи;53.119244;29.137191;Р-43;;1;0;1;0;1;1;0,,,,,,
24;BY;г. Светлогорск, ул. Калинина, 2;52.619114;29.727998;;;1;0;1;0;1;1;0,,,,
24;BY;Брестская обл., Ивацевичский р-н, М-1, 149-й км, 1;52.694722;25.352222;М-1;;1;0;1;0;1;0;0,,
24;BY;г. Докшицы, ул. Советская;54.904465;27.747779;Р-3;;1;0;1;0;1;0;0,,,,,
24;BY;Минская обл., Минский р-н, Щомыслицкий с/с, 28 км МКАД район аг. Озерцо;53.845367;27.414287;;;1;0;1;0;1;0;0,,,
24;BY;Гродненская область, г.п. Большая Берестовица;53.20528;24.00485;;;1;1;1;0;1;1;0,,,,,
24;BY;Минская обл.,Столбцовский р-н,М-1, 288-й км, 2;53.53286;26.765;М-1;;1;0;1;0;1;0;0,,
25;BY;г. Гомель, ул. Б.Хмельницкого;52.404722;30.976111;;;1;0;0;1;1;1;0,,,,,
25;BY;Брестская обл., Ивацевичский район, М-1, 149-й км, 2;52.693889;25.3525;М-1;;1;0;1;0;1;0;0,,
25;BY;г. Шарковщина, ул. Полевая, 2А;55.353888;27.485555;Р-3;Р-18;1;0;1;0;1;0;0,,,,
25;BY;Попернянский с/с а/д Р-58 11 км.;53.987777;27.535;Р-58;;1;0;1;0;1;1;0,,,,,,
25;BY;Минская обл.,Столбцовский р-н,М-1, 288-й км, 1;53.533611;26.764689;М-1;;1;0;1;0;1;0;0,,
25;BY;г. Волковыск, ул. Рокоссовского, 35;53.14347;24.48105;Р-99;;1;0;1;0;1;1;0,,,,
25;BY;г. Бобруйск, ул. 50 лет ВЛКСМ;53.164666;29.179972;;;1;0;1;0;1;1;0,,,,,
26;BY;Брестская обл., Ляховичский р-н, Р-43, 434-й км, 1;52.956111;26.304722;Р-43;;1;0;1;0;0;0;0,,
26;BY;д. Бол. Бортники;53.12035;29.570633;Р-43;;1;0;1;0;0;0;0,,,,,,
26;BY;Миорский сельсовет, а/д Р14, 71 км, 1;55.616708;27.675452;Р-14;;1;0;1;0;1;1;0,,,
26;BY;Красненский с/с.,10, вблизи аг. Красное;52.470128;30.942349;М-5;;1;0;1;0;0;1;0,,,,
26;BY;г.п. Красносельский, ул. 17-го Сентября;53.27171;24.42109;;;1;0;1;0;1;0;0,,,,,
26;BY;Минская обл.,Клецкий р-н, Грицевичский с/с,Р-43, 409-й км, 1;52.971666;26.69937;Р-43;;1;0;1;0;1;0;0,
26;BY;г. Минск, ул. Тимирязева, 66;53.92225;27.514283;;;1;0;1;0;1;1;1,,,,
27;BY;г. Бобруйск, ул. Крупской;53.132783;29.239616;;;1;0;1;0;0;1;0,,,,,
27;BY;г. Гомель, ул. Лазурная, 11а;52.410556;30.913611;;;1;0;1;0;0;0;0,,,,
27;BY;Брестская обл., Ивацевичский р-н, Р-2, 144-й км, 2;52.700833;25.319444;Р-2;;1;0;1;0;1;0;0,,
27;BY;г. Минск, ул. В.Сырокомли, 9;53.843055;27.559166;;;1;0;1;1;1;1;0,,,,
27;BY;г.п. Видзы, ул. Браславская, 61;55.405619;26.631838;Р-27;;1;0;1;0;1;0;0,,,,
27;BY;Гродненская обл.,Кореличский р-н, г.п. Мир, ул. Красноармейская, 46;53.458611;26.452222;Р-64;;1;0;1;0;1;1;0,,
27;BY;г. Свислочь;53.04339;24.09101;;;1;1;1;0;1;1;0,,,,,,
28;BY;г. Бобруйск , ул.Генерала Батова, д. 1а;53.18845;29.2145;;;1;0;1;0;1;1;0,,,,
28;BY;г. Молодечно, ул. Машерова, 39 В;54.293968;26.82279;Р-56;;1;0;1;0;1;0;0,,,,
28;BY;н.п. Прозороки, Дисненский тракт, 5;55.300645;28.215931;Р-28;;1;0;1;0;1;0;0,,,,
28;BY;0, 5 км северо-восточнее д. Новый Свет, Барановичского района;53.191128;26.076048;М-1;;1;0;1;0;1;1;0,,,,
28;BY;а/д Брест-граница РФ 346 км. (право) район д. Углы;53.723056;27.505278;М-1;;1;1;1;0;1;0;0,,,,,,
28;BY;Терюхский с/с., вблизи аг. Новая Гута;52.101615;30.971571;М-8;;1;0;1;0;1;1;0,,,,,
28;BY;а.г. Олекшицы;53.34586;23.94551;;;1;0;1;0;1;0;0,,,,,,
29;BY;д. Сычково;53.214917;29.082722;М-5;;1;0;1;0;1;1;0,,,,,,
29;BY;г. Гомель, ул. Луговая;52.405556;31.021667;;;1;0;0;1;1;0;0,,,,,
29;BY;г. Молодечно, ул. Великий Гостинец, 160;54.293964;26.900616;Р-106;;1;0;1;0;1;1;0,,,,
29;BY;г. Заславль, ул. Великая, 53;53.991944;27.303055;Р-28;;1;0;1;0;1;0;1,,,,
29;BY;г.п. Подсвилье, ул. Железнодорожная, 1А;55.154285;27.939839;;;1;0;1;0;0;0;0,,,,
29;BY;д. Чемеры;53.095278;25.241389;Р-99;;1;0;1;0;0;0;0,,,,,,
3;BY;автодорога Смолевичи-Шацк, 49-й км (лево);53.656088;27.944033;Р-69;;1;1;1;1;0;0;0,,,,,
3;BY;Брестская обл., Каменецкий р-н, Видомлянский с/с,5,0,2 км западнее  аг. Видомля;52.3247;23.7756;Р-82;Р-83;1;0;1;0;1;0;0,
3;BY;г. Горки;54.262416;30.963283;Р-70;;1;0;1;0;1;1;0,,,,,,
3;BY;г. Витебск, ул. Ленинградская, 178а;55.225734;30.115542;;;1;0;1;0;1;1;0,,,,
3;BY;Борщевский Сельский Совет, 16;52.338333;30.550833;М-10;;1;0;1;0;1;0;0,,,,,
3;BY;г. Гродно, ул. Пучкова, 38Г;53.64894;23.803023;;;1;0;1;0;1;0;0,,,,
3;BY;г. Минск, Серова, 2;53.842778;27.535555;;;1;0;1;0;1;1;1,,,,
3;BY;Борисовский район , М1,443-й км,4,а/д Брест-Минск-граница  РФ.;54.269433;28.6908;М-1;;1;0;1;0;1;0;0,,
3;BY;с/с Третьяковский в р-не аг.Едки,124;53.838286;25.344623;М-11;;1;0;1;0;1;0;0,,,,,
30;BY;г. Друя, ул. Брасловская, 64;55.785446;27.430243;;;0;0;1;0;0;0;0,,,,
30;BY;г. Молодечно, ул. Мира, 3А;54.296465;26.855976;;;1;0;1;0;1;1;0,,,,
30;BY;г. Барановичи, ул. Доменикана, 4;53.155278;25.9925;Р-2;;1;0;1;0;1;0;0,,,,
30;BY;РБ, Минская обл, Минский р-н, Р-1, 12-й км, 2;53.817929;27.428333;Р-1;;1;0;0;1;1;1;0,
30;BY;г. Дятлово, ул. Советская, 107;53.48;25.413333;М-11;;1;1;1;0;1;1;0,,,,
31;BY;г. Кличев, ул. Я.Зайца, 21A;53.478667;29.342556;;;1;0;1;0;1;1;0,,,,
31;BY;76-й км (лево) а/д Минск-Гродно;54.06314;26.52573;М-6;;1;0;1;0;1;0;0,,,,,,
31;BY;г. Гомель, ул. Украинская, 23а;52.423889;30.991389;;;1;0;1;0;1;0;0,,,,
31;BY;Брестская обл., Ляховичский р-н, г. Ляховичи, ул. Орловского, д. 2/1;53.043056;26.2475;Р-4;;1;0;1;0;1;0;0,,
31;BY;Докшицкий р-н, Волоколатский с/с, 1;54.92352;27.358073;Р-86;;1;0;1;0;0;0;0,,,,
31;BY;Минский р-н., д. Боровая, 42;53.963611;27.6175;М-9;;1;1;1;0;1;0;0,,,,
31;BY;г.п. Зельва, ул. Шоссейная,1;53.141944;24.803056;Р-50;Р-99;1;0;1;0;1;1;0,,,,
32;BY;г. Кировск, ул. Гагарина;53.279683;29.489683;Р-93;;1;0;1;0;1;0;0,,,,,
32;BY;г. Жлобин, ул. Промышленная, 19а;52.881944;30.009167;;;1;0;1;0;1;0;0,,,,
32;BY;г. Молодечно, ул. Городокская 113;54.29795;26.869412;;;1;0;1;0;1;0;0,,,,,
32;BY;Брестская обл., Барановичский р-н, Городищенский поселковый Совет с/с,0,9 км южнее г.п. Городище;53.284722;26.0375;Р-5;;1;0;1;0;1;1;0,,
32;BY;г. Минск, Гурского, 30 Б;53.882222;27.475277;;;1;0;1;0;1;0;0,,,,
32;BY;г.п. Лынтупы, ул. Лесная, 32;55.043987;26.320635;Р-110;;1;0;1;0;0;0;0,,,,
32;BY;г. Слоним, ул. Багратиона, 2а;53.10;25.332778;;;1;0;1;0;1;1;0,,,,
33;BY;Брестская обл., Ганцевичский р-н, г. Ганцевичи, ул. Матросова, д. 1Б;52.761944;26.455556;Р-13;;1;0;1;0;1;1;0,,
33;BY;г. Лепель, ул.Чуйкова, 199;54.884338;28.728319;Р-86;;1;0;1;0;1;1;0,,,,
33;BY;г. Жлобин;52.922946;30.008640;М-5;;1;0;1;0;0;0;1,,,,,,
33;BY;г. Воложин, ул. Пушкина;54.093484;26.543981;;;1;0;1;0;1;1;0,,,,,
33;BY;г. Минск, Корженевского, 18а;53.840556;27.525556;;;1;0;1;0;1;0;0,,,,
33;BY;д. Новая Стража;53.058056;25.474167;Р-99;;1;1;1;0;1;0;0,,,,,,
34;BY;г.п. Ушачи, ул. Ленинская, 1А;55.179332;28.635019;Р-113;Р-116;1;0;1;0;1;1;0,,,,
34;BY;г. Ветка, ул. Луначарского, 46;52.571666;31.161666;;;1;0;1;0;1;0;0,,,,
34;BY;г. Барановичи, пр-т Машерова, 3;53.15;26.070556;;;1;0;1;0;1;0;1,,,,
34;BY;г.п. Ивенец, ул. 17-го Сентября;53.902573;26.756546;;;1;0;1;0;1;0;0,,,,,
34;BY;г.п. Елизово;53.386674;29.009708;;;1;0;1;0;0;0;0,,,,,,
34;BY;г. Минск, ул.Прушинских, 33;53.835;27.578055;;;1;0;1;0;1;0;0,,,,
34;BY;д. Бытень, ул.Слонимская, 2;52.886389;25.490278;М-11;;1;0;1;0;1;0;0,,,,
35;BY;г. Лепель, Оршанское шоссе;54.868538;28.704262;Р-86;;1;0;1;0;0;0;0,,,,,
35;BY;вблизи д. Сосновка (объездная дорога);52.374722;30.825556;М-8;;1;0;1;0;1;1;0,,,,,,
35;BY;Брестская обл., г. Барановичи, ул. Бадака, 17;53.118611;25.950278;;;1;0;1;0;1;1;0,,,
35;BY;г. Молодечно, ул. Великий Гостинец, д. 55А;54.309979;26.812306;;;1;0;1;0;1;0;0,,,,
35;BY;г.п. Козловщина, Красноармейская;53.311389;25.283889;М-11;;1;0;1;0;1;0;0,,,,,
35;BY;г. Минск, ул. Машиностроителей, 34;53.849466;27.67085;М-9;;1;0;1;0;1;0;0,,,,
35;BY;Бобруйский р-н, 155км, а/д М-5 Минск-Гомель;53.189333;29.355278;М-5;;1;0;1;0;1;1;0,,,,
