Код;Кол-во;Наименование;Автор;ISBN;Вес шт.(кг);Описание;Направление;Ссылка на cайт;Цена без скидки;Акционная скидка;Скидка корпоративная;Итоговая скидка;Итоговая цена;Стоимость;;
00000014864;0;Мой гербарий. Листья деревьев;Анна Васильева, Светлана Винникова;978-5-00117-092-1;0,87;;Детские книги;https://www.mann-ivanov-ferber.ru/books/moj-gerbarij-listya-derevev/?buytab=paperbook;1480,00;30%;т ты меня;50%;740,00;0,00;1036;
00000014889;0;Дневники Вишенки. Каменный зоопарк. Том 1;Жорис Шамблен, Орели Нейре;978-5-00100-835-4;0,53;;Комиксы;https://www.mann-ivanov-ferber.ru/books/dnevniki-vishenki-kamennyij-zoopark/?buytab=paperbook;800,00;30%;т ты меня;50%;400,00;0,00;560;
00000014650;0;Звездный замок. 1869: покорение космоса. Том 1;Алекс Алис;978-5-00100-836-1;0,64;;Комиксы;https://www.mann-ivanov-ferber.ru/books/zvezdnyij-zamok/?buytab=paperbook;845,00;30%;т ты меня;50%;422,50;0,00;591,5;
00000014921;0;Сокровища Земли;Сюзанна Риха, Ева Рудофски;978-5-00100-832-3;0,48;;Детские книги;https://www.mann-ivanov-ferber.ru/books/sokrovishha-zemli/?buytab=paperbook;590,00;30%;т ты меня;50%;295,00;0,00;413;
00000010908;0;Алиса в стране наук;Дмитрий Баюк, Татьяна Виноградова, Константин Кноп;978-5-00100-393-9;0,42;;Детские книги;https://www.mann-ivanov-ferber.ru/books/alisa-v-strane-nauk/?buytab=paperbook;880,00;30%;т ты меня;50%;440,00;0,00;616;
00000014867;0;Цветовой квест. ЖИВОТНЫЕ;Джон Вудкок;978-5-00100-803-3;0,43;30 впечатляющих рисунков. Непростые картины по номерам;Творчество;https://www.mann-ivanov-ferber.ru/books/czvetovoj-kvest-zhivotnyie/?buytab=paperbook;735,00;30%;т ты меня;50%;367,50;0,00;514,5;
00000014614;0;Дао физики;Фритьоф Капра;978-5-00100-814-9;0,62;Исследование параллелей между современной физикой и восточной философией;Научпоп;https://www.mann-ivanov-ferber.ru/books/dao_fiziki/?buytab=paperbook;1105,00;30%;т ты меня;50%;552,50;0,00;773,5;
00000014619;0;Коллаборация;Мортен Хансен;978-5-00100-846-0;0,58;Как перейти от соперничества к сотрудничеству;Бизнес;https://www.mann-ivanov-ferber.ru/books/kollaboracziya/?buytab=paperbook;910,00;30%;т ты меня;50%;455,00;0,00;637;
00000014890;0;Что рисовать и как рисовать;Эдвин Лутц;978-5-00100-875-0;0,63;Пошаговые техники для тех, кто хочет стать художником за 5 минут;Творчество;https://www.mann-ivanov-ferber.ru/books/chto-risovat-i-kak-risovat/?buytab=paperbook;790,00;30%;т ты меня;50%;395,00;0,00;553;
00000014868;0;Создай свою вселенную;Братья Маклеод;978-5-00100-807-1;0,42;Как придумывать истории, персонажей и развивать воображение;Творчество;https://www.mann-ivanov-ferber.ru/books/sozdaj-svoyu-vselennuyu/?buytab=paperbook;870,00;30%;т ты меня;50%;435,00;0,00;609;
